osmid,gnis:feature_id,osm_name,google_name,oakland_name,google_rating,google_rating_count,osm_duplicate
358817319,1670748,Fruitvale Plaza,NaN,NaN,NaN,0,
358817992,1676081,Verdese Carter Park,NaN,Verdese Carter Park,NaN,0,
358819333,1692784,San Leandro Bay Regional Shoreline,NaN,NaN,NaN,0,
358819648,1693011,Allendale Recreation Center,Allendale Recreation Center,NaN,4.3,100,
358819686,1693040,McCrea Memorial Park,McCrea Memorial Park,McCrea Park,4.4,96,Yes
358851442,1961817,North Oakland Recreation Center,North Oakland Recreation Center,NaN,4.2,15,
4238749796,NaN,Skyline Serpentine Prairie,Serpentine Prairie,NaN,5,3,
5809540217,NaN,Henry J. Kaiser Memorial Park,Henry J. Kaiser Memorial Park,Henery J. Kaiser Memorial Park (Remember Them: Champions For Humanity Monument),4.4,118,Yes
22672037,1693069,Snow Park,Snow Park,Snow Park,4.4,809,
22699821,229125,Mosswood Park,Mosswood Park,Mosswood Park,4.1,757,
22716950,226812,Temescal Regional Recreation Area,Temescal Regional Recreation Area,NaN,4.6,1210,
22921484,NaN,Frank H. Ogawa Plaza,Frank H. Ogawa Plaza,NaN,4.2,730,
22958275,1676001,Bushrod Park,Bushrod Park,Bushrod Park,4.4,412,
22979165,229333,Morcom Amphitheatre of Roses,Morcom Rose Garden,Morcom Rose Garden,4.7,889,
23051712,NaN,Eastshore Park,Eastshore Park,Eastshore Park,4.4,282,
23051833,1693049,Park Boulevard Plaza,Park Boulevard Plaza,Park Blvd Plaza Park,NaN,0,
23074158,232368,San Antonio Park,San Antonio Park,San Antonio Park,4,674,
23488672,NaN,Grove Shafter Park,NaN,Grove Shafter Park,3.8,135,
23488678,NaN,Grove Shafter Park,Grove Shafter Park,Grove Shafter Park,3.8,135,
23488692,NaN,Grove Shafter Park,NaN,Grove Shafter Park,3.8,135,
23488810,NaN,25th Street Mini Park,25th Street Mini Park,25th Street Mini Park,3.8,28,
23488820,NaN,85th Avenue Mini Park,85th Avenue Mini Park,85th Avenue Mini Park,4,59,
23495542,NaN,88th Avenue Mini Park,88th Avenue Mini Park,88th Avenue Mini Park,2,3,
23495652,NaN,Allendale Park,Allendale Recreation Center,Allendale Park,4.3,100,
23613919,NaN,Arroyo Viejo Park,Arroyo Viejo Creek,Arroyo Viejo Park,4.7,32,
23631048,NaN,Avenue Terrance Park,Avenue Terrace Park,Avenue Terrance Park,4.4,26,
25001338,NaN,Lowell Park,Lowell Park,Lowell Park,4,232,
25001377,NaN,de Fremery Park,De Fremery Park,DeFremery Park,4.3,591,
25001464,NaN,NaN,Dr. Huey P. Newton Sculpture,NaN,5,2,
25001466,NaN,NaN,NaN,NaN,NaN,0,
25001496,NaN,NaN,NaN,NaN,NaN,0,
25001499,NaN,NaN,NaN,NaN,NaN,0,
25001523,NaN,NaN,NaN,NaN,NaN,0,
25001529,NaN,NaN,NaN,NaN,NaN,0,
25001554,NaN,NaN,NaN,NaN,NaN,0,
25001565,NaN,NaN,NaN,NaN,NaN,0,
25001568,NaN,NaN,NaN,NaN,NaN,0,
25001573,NaN,NaN,NaN,NaN,NaN,0,
25001577,NaN,NaN,NaN,NaN,NaN,0,
25001596,NaN,NaN,NaN,NaN,NaN,0,
25001621,1676035,Ernie Raimondi Park,Raimondi Park,Raimondi Park,3.9,365,
25001637,NaN,Wade Johnson Park,Wade Johnson Park,Wade Johnson Park,3.3,24,
25001658,1693038,Marston Campbell Park,Marston Campbell Park,Marston Campbell Park,4.1,85,
25001705,NaN,Cypress Freeway Memorial Park,Cypress Freeway Memorial Park,Cypress Freeway Memorial Park,4.3,56,
25003798,NaN,Middle Harbor Shoreline Park,Middle Harbor Shoreline Park,NaN,4.4,1063,
25172948,1693028,Jefferson Square Playground,Jefferson Square Park,Jefferson Square,3.7,110,
25172961,NaN,Lafayette Square,Lafayette Square,Lafayette Square Park,NaN,0,
25173011,1693035,Wilma Chan Park,Wilma Chan Park (formerly Madison Square Park),Madison Square Park,3.8,104,
25173021,1693023,Harrison Square,Chinese Garden Park,Chinese Garden Park,3.6,79,
25173034,1693033,Lincoln Square Park,Lincoln Square Park,Lincoln Square Park,4.3,308,
25173678,NaN,NaN,NaN,NaN,NaN,0,
25173784,NaN,Lakeshore Park,Cleveland Cascade,NaN,4.7,299,
25173804,NaN,Splash Pad Park,Splash Pad Park,Splash Pad Park,4.5,207,
25179371,1693012,Athol Plaza,Athol Plaza,NaN,4.1,108,
25179388,NaN,Pine Knoll Park,Pine Knoll Park,Pine Knoll Park,4.5,311,
25339004,230521,Peralta Park,Peralta Park,Peralta Park,NaN,0,
26720572,NaN,Willow Mini Park,Willow Park Playground,Willow Mini Park,5,1,
26968862,1693068,F.M. Smith Park,FM Smith Park,FM Smith Park,4.1,76,
26968901,1693037,Manzanita Park,Manzanita Recreation Center,Manzanita Park,4.4,86,
27187346,228292,Joaquin Miller Park,Joaquin Miller Park,Joaquin Miller Park,4.7,2492,
27209026,NaN,Bella Vista Park,Bella Vista Park,Bella Vista Park,4.4,94,
27209099,NaN,Franklin Park,Franklin Recreation Center,Franklin Park,4.4,21,
27209111,1693021,Garfield Park,Garfield Park,Garfield Park,3.9,36,
